term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
1785,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1785,1785,1785
1787,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1787,1787,1787
1788,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1788,1788,1788
1789,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1789,1789,1789
1790,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1790,1790,1790
1791,4,4,1.942730254818214e-06,18.9734829705378,CD,1,{'CD'},0,1791,1791,1791
1792,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1792,1792,1792
1793,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1793,1793,1793
1797,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1797,1797,1797
1798,3,4,1.4570476911136605e-06,19.38852046981664,CD,2,"{'CD', 'NNP'}",0,1798,1798,1798
1799,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1799,1799,1799
18,2,2,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,18,18,18
180,2,3,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,180,180,180
1800,5,4,2.428412818522767e-06,18.651554875650437,CD,1,{'CD'},0,1800,1800,1800
1803,4,4,1.942730254818214e-06,18.9734829705378,CD,1,{'CD'},0,1803,1803,1803
1806,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1806,1806,1806
1807,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1807,1807,1807
1808,3,4,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,1808,1808,1808
1810,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1810,1810,1810
1812,5,4,2.428412818522767e-06,18.651554875650437,CD,1,{'CD'},0,1812,1812,1812
1813,4,4,1.942730254818214e-06,18.9734829705378,CD,2,"{'NN', 'CD'}",0,1813,1813,1813
1814,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1814,1814,1814
1816,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1816,1816,1816
1817,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1817,1817,1817
1818,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1818,1818,1818
1819,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1819,1819,1819
1820,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1820,1820,1820
1821,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1821,1821,1821
1822,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1822,1822,1822
1824,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1824,1824,1824
1825,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1825,1825,1825
1826,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1826,1826,1826
1827,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1827,1827,1827
1828,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1828,1828,1828
1833,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1833,1833,1833
1834,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1834,1834,1834
1835,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1835,1835,1835
1836,3,4,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,1836,1836,1836
1839,3,4,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,1839,1839,1839
184,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,184,184,184
