term_str,n,p
large,19,0.0002281377952283179
air,19,0.0002281377952283179
style,19,0.0002281377952283179
conduct,19,0.0002281377952283179
value,19,0.0002281377952283179
wonder,19,0.0002281377952283179
took,19,0.0002281377952283179
open,19,0.0002281377952283179
anybody,19,0.0002281377952283179
supposed,19,0.0002281377952283179
notice,19,0.0002281377952283179
delighted,19,0.0002281377952283179
sometimes,19,0.0002281377952283179
nobody,19,0.0002281377952283179
used,19,0.0002281377952283179
engaged,19,0.0002281377952283179
lived,19,0.0002281377952283179
voice,19,0.0002281377952283179
pleased,19,0.0002281377952283179
giving,19,0.0002281377952283179
probably,18,0.00021613054284788012
small,18,0.00021613054284788012
expected,18,0.00021613054284788012
imagine,18,0.00021613054284788012
suffering,18,0.00021613054284788012
serious,18,0.00021613054284788012
lost,18,0.00021613054284788012
sea,18,0.00021613054284788012
also,18,0.00021613054284788012
marys,18,0.00021613054284788012
daughter,18,0.00021613054284788012
circumstance,18,0.00021613054284788012
hoped,18,0.00021613054284788012
terms,18,0.00021613054284788012
generally,18,0.00021613054284788012
finding,18,0.00021613054284788012
walters,18,0.00021613054284788012
second,17,0.00020412329046744235
observed,17,0.00020412329046744235
entirely,17,0.00020412329046744235
tone,17,0.00020412329046744235
tomorrow,17,0.00020412329046744235
completely,17,0.00020412329046744235
favour,17,0.00020412329046744235
everybody,17,0.00020412329046744235
anxious,17,0.00020412329046744235
view,17,0.00020412329046744235
waiting,17,0.00020412329046744235
disposed,17,0.00020412329046744235
proper,17,0.00020412329046744235
kept,17,0.00020412329046744235
sense,17,0.00020412329046744235
curiosity,17,0.00020412329046744235
months,17,0.00020412329046744235
turn,17,0.00020412329046744235
warm,17,0.00020412329046744235
respect,17,0.00020412329046744235
dinner,17,0.00020412329046744235
farther,16,0.00019211603808700454
hearing,16,0.00019211603808700454
son,16,0.00019211603808700454
pride,16,0.00019211603808700454
reached,16,0.00019211603808700454
late,16,0.00019211603808700454
caught,16,0.00019211603808700454
window,16,0.00019211603808700454
meant,16,0.00019211603808700454
seem,16,0.00019211603808700454
money,16,0.00019211603808700454
times,16,0.00019211603808700454
particular,16,0.00019211603808700454
loved,16,0.00019211603808700454
history,16,0.00019211603808700454
extremely,16,0.00019211603808700454
description,16,0.00019211603808700454
drew,16,0.00019211603808700454
nurse,16,0.00019211603808700454
perfect,16,0.00019211603808700454
listened,16,0.00019211603808700454
ago,16,0.00019211603808700454
quiet,15,0.00018010878570656676
claims,15,0.00018010878570656676
period,15,0.00018010878570656676
remember,15,0.00018010878570656676
profession,15,0.00018010878570656676
meaning,15,0.00018010878570656676
allowed,15,0.00018010878570656676
low,15,0.00018010878570656676
attending,15,0.00018010878570656676
fellow,15,0.00018010878570656676
knowing,15,0.00018010878570656676
buildings,15,0.00018010878570656676
continued,15,0.00018010878570656676
exactly,15,0.00018010878570656676
distress,15,0.00018010878570656676
seat,15,0.00018010878570656676
smallest,15,0.00018010878570656676
answered,15,0.00018010878570656676
proof,15,0.00018010878570656676
afraid,15,0.00018010878570656676
trying,15,0.00018010878570656676
town,15,0.00018010878570656676
kindness,15,0.00018010878570656676
remain,15,0.00018010878570656676
aware,15,0.00018010878570656676
vain,15,0.00018010878570656676
fact,15,0.00018010878570656676
common,15,0.00018010878570656676
staying,15,0.00018010878570656676
impossible,15,0.00018010878570656676
round,15,0.00018010878570656676
behind,15,0.00018010878570656676
instead,15,0.00018010878570656676
liked,15,0.00018010878570656676
highly,15,0.00018010878570656676
followed,15,0.00018010878570656676
countenance,15,0.00018010878570656676
agreed,15,0.00018010878570656676
nearly,15,0.00018010878570656676
introduced,14,0.00016810153332612898
cobb,14,0.00016810153332612898
sit,14,0.00016810153332612898
trouble,14,0.00016810153332612898
friendship,14,0.00016810153332612898
truth,14,0.00016810153332612898
getting,14,0.00016810153332612898
besides,14,0.00016810153332612898
keep,14,0.00016810153332612898
necessary,14,0.00016810153332612898
turning,14,0.00016810153332612898
struck,14,0.00016810153332612898
sat,14,0.00016810153332612898
live,14,0.00016810153332612898
neighbourhood,14,0.00016810153332612898
difference,14,0.00016810153332612898
ashamed,14,0.00016810153332612898
honour,14,0.00016810153332612898
agitation,14,0.00016810153332612898
four,14,0.00016810153332612898
sent,14,0.00016810153332612898
yourself,14,0.00016810153332612898
london,14,0.00016810153332612898
comfortable,14,0.00016810153332612898
consciousness,14,0.00016810153332612898
glance,14,0.00016810153332612898
instantly,14,0.00016810153332612898
fully,14,0.00016810153332612898
justice,14,0.00016810153332612898
persuaded,14,0.00016810153332612898
evil,14,0.00016810153332612898
property,14,0.00016810153332612898
future,14,0.00016810153332612898
youth,14,0.00016810153332612898
yesterday,14,0.00016810153332612898
table,14,0.00016810153332612898
looks,14,0.00016810153332612898
girls,14,0.00016810153332612898
fixed,13,0.0001560942809456912
opportunity,13,0.0001560942809456912
invitation,13,0.0001560942809456912
hint,13,0.0001560942809456912
power,13,0.0001560942809456912
pleasant,13,0.0001560942809456912
appear,13,0.0001560942809456912
tenant,13,0.0001560942809456912
due,13,0.0001560942809456912
severe,13,0.0001560942809456912
yours,13,0.0001560942809456912
forget,13,0.0001560942809456912
greater,13,0.0001560942809456912
duty,13,0.0001560942809456912
clear,13,0.0001560942809456912
itself,13,0.0001560942809456912
became,13,0.0001560942809456912
along,13,0.0001560942809456912
extraordinary,13,0.0001560942809456912
navy,13,0.0001560942809456912
easy,13,0.0001560942809456912
share,13,0.0001560942809456912
rooms,13,0.0001560942809456912
become,13,0.0001560942809456912
smile,13,0.0001560942809456912
read,13,0.0001560942809456912
tried,13,0.0001560942809456912
personal,13,0.0001560942809456912
inn,13,0.0001560942809456912
breakfast,13,0.0001560942809456912
danger,13,0.0001560942809456912
enjoyment,13,0.0001560942809456912
regret,13,0.0001560942809456912
sake,13,0.0001560942809456912
pity,13,0.0001560942809456912
improved,13,0.0001560942809456912
society,13,0.0001560942809456912
play,13,0.0001560942809456912
interesting,13,0.0001560942809456912
strength,13,0.0001560942809456912
calling,13,0.0001560942809456912
listen,13,0.0001560942809456912
especially,13,0.0001560942809456912
altogether,13,0.0001560942809456912
dine,13,0.0001560942809456912
daughters,13,0.0001560942809456912
dare,13,0.0001560942809456912
fair,13,0.0001560942809456912
mentioned,13,0.0001560942809456912
wishing,12,0.00014408702856525343
difficulties,12,0.00014408702856525343
bring,12,0.00014408702856525343
ten,12,0.00014408702856525343
mention,12,0.00014408702856525343
remained,12,0.00014408702856525343
persons,12,0.00014408702856525343
growing,12,0.00014408702856525343
exceedingly,12,0.00014408702856525343
plan,12,0.00014408702856525343
board,12,0.00014408702856525343
six,12,0.00014408702856525343
letters,12,0.00014408702856525343
bringing,12,0.00014408702856525343
louisas,12,0.00014408702856525343
stood,12,0.00014408702856525343
certain,12,0.00014408702856525343
directly,12,0.00014408702856525343
begun,12,0.00014408702856525343
temper,12,0.00014408702856525343
leaving,12,0.00014408702856525343
heir,12,0.00014408702856525343
putting,12,0.00014408702856525343
occasion,12,0.00014408702856525343
consider,12,0.00014408702856525343
smiling,12,0.00014408702856525343
wait,12,0.00014408702856525343
desirable,12,0.00014408702856525343
cold,12,0.00014408702856525343
recollect,12,0.00014408702856525343
pass,12,0.00014408702856525343
placed,12,0.00014408702856525343
altered,12,0.00014408702856525343
miles,12,0.00014408702856525343
hers,12,0.00014408702856525343
admitted,12,0.00014408702856525343
occupied,12,0.00014408702856525343
around,12,0.00014408702856525343
eldest,12,0.00014408702856525343
surprised,12,0.00014408702856525343
spirit,12,0.00014408702856525343
promised,12,0.00014408702856525343
thank,12,0.00014408702856525343
eager,11,0.00013207977618481562
considering,11,0.00013207977618481562
spend,11,0.00013207977618481562
satisfaction,11,0.00013207977618481562
resolution,11,0.00013207977618481562
returning,11,0.00013207977618481562
maam,11,0.00013207977618481562
inclination,11,0.00013207977618481562
silence,11,0.00013207977618481562
useful,11,0.00013207977618481562
wishes,11,0.00013207977618481562
winthrop,11,0.00013207977618481562
mere,11,0.00013207977618481562
intercourse,11,0.00013207977618481562
fond,11,0.00013207977618481562
elegant,11,0.00013207977618481562
written,11,0.00013207977618481562
dignity,11,0.00013207977618481562
weeks,11,0.00013207977618481562
required,11,0.00013207977618481562
differently,11,0.00013207977618481562
confidence,11,0.00013207977618481562
death,11,0.00013207977618481562
anxiety,11,0.00013207977618481562
nice,11,0.00013207977618481562
direction,11,0.00013207977618481562
age,11,0.00013207977618481562
observe,11,0.00013207977618481562
domestic,11,0.00013207977618481562
opinions,11,0.00013207977618481562
sick,11,0.00013207977618481562
shut,11,0.00013207977618481562
charless,11,0.00013207977618481562
truly,11,0.00013207977618481562
sitting,11,0.00013207977618481562
depend,11,0.00013207977618481562
occurred,11,0.00013207977618481562
gentlemen,11,0.00013207977618481562
chance,11,0.00013207977618481562
carteret,11,0.00013207977618481562
rich,11,0.00013207977618481562
sound,11,0.00013207977618481562
silent,11,0.00013207977618481562
spite,11,0.00013207977618481562
instant,11,0.00013207977618481562
effect,11,0.00013207977618481562
boy,11,0.00013207977618481562
seems,11,0.00013207977618481562
happened,11,0.00013207977618481562
lodgings,11,0.00013207977618481562
rank,11,0.00013207977618481562
warmth,11,0.00013207977618481562
hints,11,0.00013207977618481562
spring,11,0.00013207977618481562
scarcely,11,0.00013207977618481562
declare,11,0.00013207977618481562
suspense,10,0.00012007252380437784
rights,10,0.00012007252380437784
superiority,10,0.00012007252380437784
servant,10,0.00012007252380437784
gratitude,10,0.00012007252380437784
importance,10,0.00012007252380437784
connexion,10,0.00012007252380437784
indulgence,10,0.00012007252380437784
join,10,0.00012007252380437784
merely,10,0.00012007252380437784
affected,10,0.00012007252380437784
several,10,0.00012007252380437784
horses,10,0.00012007252380437784
painful,10,0.00012007252380437784
charm,10,0.00012007252380437784
produced,10,0.00012007252380437784
astonishment,10,0.00012007252380437784
sooner,10,0.00012007252380437784
autumn,10,0.00012007252380437784
continually,10,0.00012007252380437784
ended,10,0.00012007252380437784
wrong,10,0.00012007252380437784
misery,10,0.00012007252380437784
ideas,10,0.00012007252380437784
ask,10,0.00012007252380437784
indifference,10,0.00012007252380437784
fancied,10,0.00012007252380437784
expect,10,0.00012007252380437784
tenderness,10,0.00012007252380437784
vanity,10,0.00012007252380437784
girl,10,0.00012007252380437784
sentiments,10,0.00012007252380437784
happen,10,0.00012007252380437784
report,10,0.00012007252380437784
opened,10,0.00012007252380437784
wanting,10,0.00012007252380437784
properly,10,0.00012007252380437784
mine,10,0.00012007252380437784
lately,10,0.00012007252380437784
avoid,10,0.00012007252380437784
books,10,0.00012007252380437784
peace,10,0.00012007252380437784
reply,10,0.00012007252380437784
joined,10,0.00012007252380437784
promise,10,0.00012007252380437784
pleasing,10,0.00012007252380437784
service,10,0.00012007252380437784
birth,10,0.00012007252380437784
nay,10,0.00012007252380437784
fit,10,0.00012007252380437784
excepting,10,0.00012007252380437784
suffer,10,0.00012007252380437784
forced,10,0.00012007252380437784
reach,10,0.00012007252380437784
invited,10,0.00012007252380437784
smiled,10,0.00012007252380437784
baronet,10,0.00012007252380437784
evident,10,0.00012007252380437784
school,10,0.00012007252380437784
admiration,10,0.00012007252380437784
begin,10,0.00012007252380437784
credit,10,0.00012007252380437784
evidently,10,0.00012007252380437784
creature,10,0.00012007252380437784
summer,10,0.00012007252380437784
eight,10,0.00012007252380437784
beauty,10,0.00012007252380437784
dr,10,0.00012007252380437784
order,10,0.00012007252380437784
winter,10,0.00012007252380437784
constant,10,0.00012007252380437784
confess,10,0.00012007252380437784
clays,9,0.00010806527142394006
imagined,9,0.00010806527142394006
amusement,9,0.00010806527142394006
try,9,0.00010806527142394006
venture,9,0.00010806527142394006
thus,9,0.00010806527142394006
ah,9,0.00010806527142394006
news,9,0.00010806527142394006
desire,9,0.00010806527142394006
sensations,9,0.00010806527142394006
except,9,0.00010806527142394006
complete,9,0.00010806527142394006
safe,9,0.00010806527142394006
allow,9,0.00010806527142394006
pause,9,0.00010806527142394006
mothers,9,0.00010806527142394006
rain,9,0.00010806527142394006
card,9,0.00010806527142394006
widow,9,0.00010806527142394006
welcome,9,0.00010806527142394006
removal,9,0.00010806527142394006
contrary,9,0.00010806527142394006
companion,9,0.00010806527142394006
lord,9,0.00010806527142394006
suffered,9,0.00010806527142394006
quit,9,0.00010806527142394006
suit,9,0.00010806527142394006
tired,9,0.00010806527142394006
attentions,9,0.00010806527142394006
mistaken,9,0.00010806527142394006
dreadful,9,0.00010806527142394006
god,9,0.00010806527142394006
highest,9,0.00010806527142394006
superior,9,0.00010806527142394006
blessing,9,0.00010806527142394006
inferior,9,0.00010806527142394006
sounds,9,0.00010806527142394006
claim,9,0.00010806527142394006
shirley,9,0.00010806527142394006
afford,9,0.00010806527142394006
dangerous,9,0.00010806527142394006
hopes,9,0.00010806527142394006
affection,9,0.00010806527142394006
november,9,0.00010806527142394006
weather,9,0.00010806527142394006
distance,9,0.00010806527142394006
comprehend,9,0.00010806527142394006
convinced,9,0.00010806527142394006
intimacy,9,0.00010806527142394006
possibility,9,0.00010806527142394006
village,9,0.00010806527142394006
hill,9,0.00010806527142394006
